These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2015   11  01  00    00    10.20
SMO 2015   11  01  00    05     9.08
SMO 2015   11  01  00    10     8.59
SMO 2015   11  01  00    15    10.49
SMO 2015   11  01  00    20    10.98
SMO 2015   11  01  00    25     9.12
SMO 2015   11  01  00    30     9.49
SMO 2015   11  01  00    35     9.46
SMO 2015   11  01  00    40    10.31
SMO 2015   11  01  00    45     8.88
SMO 2015   11  01  00    50     9.30
SMO 2015   11  01  00    55     9.37
SMO 2015   11  01  01    00     9.57
SMO 2015   11  01  01    05     9.08
SMO 2015   11  01  01    10     9.75
SMO 2015   11  01  01    15     9.42
SMO 2015   11  01  01    20     9.48
SMO 2015   11  01  01    25    10.25
SMO 2015   11  01  01    30     9.60
SMO 2015   11  01  01    35     9.53
SMO 2015   11  01  01    40     9.55
SMO 2015   11  01  01    45     9.76
SMO 2015   11  01  01    50     9.94
SMO 2015   11  01  01    55     9.61
SMO 2015   11  01  02    00     9.35
SMO 2015   11  01  02    05    10.26
SMO 2015   11  01  02    10    10.19
SMO 2015   11  01  02    15    10.06
SMO 2015   11  01  02    20     9.72
SMO 2015   11  01  02    25     9.74
SMO 2015   11  01  02    30     9.55
SMO 2015   11  01  02    40    10.31
SMO 2015   11  01  02    45     9.79
SMO 2015   11  01  02    50     9.89
SMO 2015   11  01  02    55     9.88
SMO 2015   11  01  03    00     9.78
SMO 2015   11  01  03    05     9.52
SMO 2015   11  01  03    10    10.16
SMO 2015   11  01  03    15     9.62
SMO 2015   11  01  03    20     8.15
SMO 2015   11  01  03    25    10.69
SMO 2015   11  01  03    30    10.29
SMO 2015   11  01  03    35    10.67
SMO 2015   11  01  03    40    10.15
SMO 2015   11  01  03    45    10.37
SMO 2015   11  01  03    50    10.22
SMO 2015   11  01  03    55    10.29
SMO 2015   11  01  04    00    10.06
SMO 2015   11  01  04    05     8.92
SMO 2015   11  01  04    10     9.79
SMO 2015   11  01  04    15    10.02
SMO 2015   11  01  04    20    10.28
SMO 2015   11  01  04    25    10.66
SMO 2015   11  01  04    30    10.22
SMO 2015   11  01  04    35    11.15
SMO 2015   11  01  04    40    10.52
SMO 2015   11  01  04    45     9.35
SMO 2015   11  01  04    50     9.67
SMO 2015   11  01  04    55    10.09
SMO 2015   11  01  05    00    10.35
SMO 2015   11  01  05    05    10.97
SMO 2015   11  01  05    10    10.54
SMO 2015   11  01  05    15    10.73
SMO 2015   11  01  05    20    10.35
SMO 2015   11  01  05    25    11.28
SMO 2015   11  01  05    30    10.97
SMO 2015   11  01  05    35    10.67
SMO 2015   11  01  05    40    11.48
SMO 2015   11  01  05    45    11.64
SMO 2015   11  01  05    50    11.10
SMO 2015   11  01  05    55    11.38
SMO 2015   11  01  06    00    11.18
SMO 2015   11  01  06    05    11.46
SMO 2015   11  01  06    10    10.91
SMO 2015   11  01  06    15    10.88
SMO 2015   11  01  06    20    11.63
SMO 2015   11  01  06    25    11.77
SMO 2015   11  01  06    30    11.87
SMO 2015   11  01  06    35    11.53
SMO 2015   11  01  06    40    11.52
SMO 2015   11  01  06    45    11.38
SMO 2015   11  01  06    50     8.79
SMO 2015   11  01  06    55     9.71
SMO 2015   11  01  07    00     9.53
SMO 2015   11  01  07    05    10.93
SMO 2015   11  01  07    10    10.80
SMO 2015   11  01  07    15    11.33
SMO 2015   11  01  07    20    11.59
SMO 2015   11  01  07    25    10.81
SMO 2015   11  01  07    30    11.04
SMO 2015   11  01  07    35    12.00
SMO 2015   11  01  07    40    11.79
SMO 2015   11  01  07    45    12.07
SMO 2015   11  01  07    50    11.52
SMO 2015   11  01  07    55    10.71
SMO 2015   11  01  08    00    10.14
SMO 2015   11  01  08    05    10.55
SMO 2015   11  01  08    10    10.11
SMO 2015   11  01  08    15     9.03
SMO 2015   11  01  08    20     9.99
SMO 2015   11  01  08    25    10.83
SMO 2015   11  01  08    30    10.67
SMO 2015   11  01  08    35    10.62
SMO 2015   11  01  08    40    10.86
SMO 2015   11  01  08    45    11.51
SMO 2015   11  01  08    50    10.84
SMO 2015   11  01  08    55    10.45
SMO 2015   11  01  09    00    11.38
SMO 2015   11  01  09    05    11.60
SMO 2015   11  01  09    10    11.96
SMO 2015   11  01  09    15    11.78
SMO 2015   11  01  09    20    11.10
SMO 2015   11  01  09    25    11.01
SMO 2015   11  01  09    30    11.73
SMO 2015   11  01  09    35    11.66
SMO 2015   11  01  09    40    12.02
SMO 2015   11  01  09    45    11.95
SMO 2015   11  01  09    50    11.36
SMO 2015   11  01  09    55    11.95
SMO 2015   11  01  10    00    10.63
SMO 2015   11  01  10    05    10.85
SMO 2015   11  01  10    10    12.30
SMO 2015   11  01  10    15    11.64
SMO 2015   11  01  10    20    11.90
SMO 2015   11  01  10    25    12.12
SMO 2015   11  01  10    30    12.35
SMO 2015   11  01  10    35    11.95
SMO 2015   11  01  10    40    11.63
SMO 2015   11  01  10    45    12.71
SMO 2015   11  01  10    50    12.91
SMO 2015   11  01  10    55    12.75
SMO 2015   11  01  11    00    12.77
SMO 2015   11  01  11    05    12.61
SMO 2015   11  01  11    10    13.36
SMO 2015   11  01  11    15    12.78
SMO 2015   11  01  11    20    12.25
SMO 2015   11  01  11    25    12.41
SMO 2015   11  01  11    30    12.47
SMO 2015   11  01  11    35    12.80
SMO 2015   11  01  11    40    12.47
SMO 2015   11  01  11    45    12.11
SMO 2015   11  01  11    50    11.92
SMO 2015   11  01  11    55    11.23
SMO 2015   11  01  12    00    11.97
SMO 2015   11  01  12    05    12.95
SMO 2015   11  01  12    10    12.67
SMO 2015   11  01  12    15    13.20
SMO 2015   11  01  12    20    13.04
SMO 2015   11  01  12    25    13.09
SMO 2015   11  01  12    30    12.84
SMO 2015   11  01  12    35    12.21
SMO 2015   11  01  12    40    12.70
SMO 2015   11  01  12    45    13.31
SMO 2015   11  01  12    50    12.92
SMO 2015   11  01  12    55    13.02
SMO 2015   11  01  13    00    12.66
SMO 2015   11  01  13    05    13.09
SMO 2015   11  01  13    10    12.44
SMO 2015   11  01  13    15    11.82
SMO 2015   11  01  13    20    12.71
SMO 2015   11  01  13    25    12.90
SMO 2015   11  01  13    30    12.74
SMO 2015   11  01  13    35    12.99
SMO 2015   11  01  13    40    12.13
SMO 2015   11  01  13    45    12.08
SMO 2015   11  01  13    50    12.90
SMO 2015   11  01  13    55    12.51
SMO 2015   11  01  14    00    12.99
SMO 2015   11  01  14    05    12.66
SMO 2015   11  01  14    10    13.13
SMO 2015   11  01  14    15    12.48
SMO 2015   11  01  14    20    11.64
SMO 2015   11  01  14    25    12.09
SMO 2015   11  01  14    30    12.00
SMO 2015   11  01  14    35    11.02
SMO 2015   11  01  14    40    12.78
SMO 2015   11  01  14    45    12.73
SMO 2015   11  01  14    50    12.36
SMO 2015   11  01  14    55    12.14
SMO 2015   11  01  15    00    11.69
SMO 2015   11  01  15    05    11.78
SMO 2015   11  01  15    10    12.42
SMO 2015   11  01  15    15    12.33
SMO 2015   11  01  15    20    12.62
SMO 2015   11  01  15    25    12.63
SMO 2015   11  01  15    30    12.39
SMO 2015   11  01  15    35    11.70
SMO 2015   11  01  15    40    11.64
SMO 2015   11  01  15    45    12.59
SMO 2015   11  01  15    50    12.79
SMO 2015   11  01  15    55    12.54
SMO 2015   11  01  16    00    12.49
SMO 2015   11  01  16    05    12.04
SMO 2015   11  01  16    10    13.24
SMO 2015   11  01  16    15    12.51
SMO 2015   11  01  16    20    11.80
SMO 2015   11  01  16    25    12.20
SMO 2015   11  01  16    30    12.59
SMO 2015   11  01  16    35    12.39
SMO 2015   11  01  16    40    12.57
SMO 2015   11  01  16    45    12.81
SMO 2015   11  01  16    50    12.29
SMO 2015   11  01  16    55    12.03
SMO 2015   11  01  17    00    12.02
SMO 2015   11  01  17    05    12.85
SMO 2015   11  01  17    10    12.58
SMO 2015   11  01  17    15    12.95
SMO 2015   11  01  17    20    12.45
SMO 2015   11  01  17    25    12.65
SMO 2015   11  01  17    30    12.13
SMO 2015   11  01  17    35    11.86
SMO 2015   11  01  17    40    12.13
SMO 2015   11  01  17    45    12.58
SMO 2015   11  01  17    50    13.07
SMO 2015   11  01  17    55    12.81
SMO 2015   11  01  18    00    12.98
SMO 2015   11  01  18    05    12.73
SMO 2015   11  01  18    10    12.18
SMO 2015   11  01  18    15    12.49
SMO 2015   11  01  18    20    12.51
SMO 2015   11  01  18    25    12.67
SMO 2015   11  01  18    30    13.01
SMO 2015   11  01  18    35    12.75
SMO 2015   11  01  18    40    12.44
SMO 2015   11  01  18    45    12.77
SMO 2015   11  01  18    50    12.02
SMO 2015   11  01  18    55    12.08
SMO 2015   11  01  19    00    12.55
SMO 2015   11  01  19    05    12.53
SMO 2015   11  01  19    10    12.67
SMO 2015   11  01  19    15    12.95
SMO 2015   11  01  19    20    11.76
SMO 2015   11  01  19    25    12.19
SMO 2015   11  01  19    30    12.32
SMO 2015   11  01  19    35    12.45
SMO 2015   11  01  19    40    12.71
SMO 2015   11  01  19    45    12.38
SMO 2015   11  01  19    50    12.94
