These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2015   07  07  23    10    22.83
SMO 2015   07  07  23    15    23.01
SMO 2015   07  07  23    20    22.88
SMO 2015   07  07  23    25    22.11
SMO 2015   07  07  23    30    22.98
SMO 2015   07  07  23    35    22.67
SMO 2015   07  07  23    40    21.73
SMO 2015   07  07  23    45    22.35
SMO 2015   07  07  23    50    22.81
SMO 2015   07  07  23    55    22.11
SMO 2015   07  08  00    00    22.38
SMO 2015   07  08  00    05    21.82
SMO 2015   07  08  00    10    22.01
SMO 2015   07  08  00    15    22.42
SMO 2015   07  08  00    20    22.35
SMO 2015   07  08  00    25    22.56
SMO 2015   07  08  00    30    22.39
SMO 2015   07  08  00    35    22.15
SMO 2015   07  08  00    40    22.35
SMO 2015   07  08  00    45    22.23
SMO 2015   07  08  00    50    22.19
SMO 2015   07  08  00    55    21.60
SMO 2015   07  08  01    00    21.85
SMO 2015   07  08  01    05    22.12
SMO 2015   07  08  01    10    21.90
SMO 2015   07  08  01    15    22.26
SMO 2015   07  08  01    20    21.70
SMO 2015   07  08  01    25    22.50
SMO 2015   07  08  01    30    21.51
SMO 2015   07  08  01    35    21.95
SMO 2015   07  08  01    40    21.82
SMO 2015   07  08  01    45    21.97
SMO 2015   07  08  01    50    22.17
SMO 2015   07  08  01    55    22.16
SMO 2015   07  08  02    00    21.62
SMO 2015   07  08  02    10    22.17
SMO 2015   07  08  02    15    21.51
SMO 2015   07  08  02    20    21.42
SMO 2015   07  08  02    25    21.59
SMO 2015   07  08  02    30    21.19
SMO 2015   07  08  02    35    22.36
SMO 2015   07  08  02    40    22.30
SMO 2015   07  08  02    45    21.59
SMO 2015   07  08  02    50    21.35
SMO 2015   07  08  02    55    21.29
SMO 2015   07  08  03    00    21.75
SMO 2015   07  08  03    05    20.63
SMO 2015   07  08  03    10    21.72
SMO 2015   07  08  03    15    21.82
SMO 2015   07  08  03    20    21.62
SMO 2015   07  08  03    25    21.55
SMO 2015   07  08  03    30    21.71
SMO 2015   07  08  03    35    21.16
SMO 2015   07  08  03    40    21.87
SMO 2015   07  08  03    45    21.89
SMO 2015   07  08  03    50    21.42
SMO 2015   07  08  03    55    21.77
SMO 2015   07  08  04    00    21.32
SMO 2015   07  08  04    05    21.58
SMO 2015   07  08  04    10    21.82
SMO 2015   07  08  04    15    21.50
SMO 2015   07  08  04    20    21.81
SMO 2015   07  08  04    25    21.52
SMO 2015   07  08  04    30    21.77
SMO 2015   07  08  04    35    22.55
SMO 2015   07  08  04    40    21.57
SMO 2015   07  08  04    45    21.40
SMO 2015   07  08  04    50    21.96
SMO 2015   07  08  04    55    23.05
SMO 2015   07  08  05    00    22.02
SMO 2015   07  08  05    05    21.46
SMO 2015   07  08  05    10    21.61
SMO 2015   07  08  05    15    22.66
SMO 2015   07  08  05    20    21.78
SMO 2015   07  08  05    25    21.71
SMO 2015   07  08  05    30    21.60
SMO 2015   07  08  05    35    23.70
SMO 2015   07  08  05    40    22.13
SMO 2015   07  08  05    45    21.60
SMO 2015   07  08  05    50    22.58
SMO 2015   07  08  05    55    23.43
SMO 2015   07  08  06    00    22.88
SMO 2015   07  08  06    05    22.26
SMO 2015   07  08  06    10    22.10
SMO 2015   07  08  06    15    22.53
SMO 2015   07  08  06    20    22.80
SMO 2015   07  08  06    25    21.86
SMO 2015   07  08  06    30    22.38
SMO 2015   07  08  06    35    22.97
SMO 2015   07  08  06    40    22.04
SMO 2015   07  08  06    45    21.81
SMO 2015   07  08  06    50    21.91
SMO 2015   07  08  06    55    22.69
SMO 2015   07  08  07    00    22.83
SMO 2015   07  08  07    05    22.54
SMO 2015   07  08  07    10    21.11
SMO 2015   07  08  07    15    22.65
SMO 2015   07  08  07    20    22.55
SMO 2015   07  08  07    25    21.70
SMO 2015   07  08  07    30    21.84
SMO 2015   07  08  07    35    22.19
SMO 2015   07  08  07    40    22.85
SMO 2015   07  08  07    45    22.07
SMO 2015   07  08  07    50    21.24
SMO 2015   07  08  07    55    22.04
SMO 2015   07  08  08    00    22.98
SMO 2015   07  08  08    05    21.75
SMO 2015   07  08  08    10    23.24
SMO 2015   07  08  08    15    21.99
SMO 2015   07  08  08    20    21.80
SMO 2015   07  08  08    25    22.37
SMO 2015   07  08  08    30    22.97
SMO 2015   07  08  08    35    21.90
SMO 2015   07  08  08    40    21.85
SMO 2015   07  08  08    45    21.96
SMO 2015   07  08  08    50    22.80
SMO 2015   07  08  08    55    22.48
SMO 2015   07  08  09    00    22.40
SMO 2015   07  08  09    05    22.07
SMO 2015   07  08  09    10    23.18
SMO 2015   07  08  09    15    22.42
SMO 2015   07  08  09    20    21.35
SMO 2015   07  08  09    25    21.93
SMO 2015   07  08  09    30    21.73
SMO 2015   07  08  09    35    21.88
SMO 2015   07  08  09    40    21.82
SMO 2015   07  08  09    45    21.79
SMO 2015   07  08  09    50    22.56
SMO 2015   07  08  09    55    22.23
SMO 2015   07  08  10    00    21.03
SMO 2015   07  08  10    05    21.56
SMO 2015   07  08  10    10    22.28
SMO 2015   07  08  10    15    21.94
SMO 2015   07  08  10    20    21.56
SMO 2015   07  08  10    25    21.18
SMO 2015   07  08  10    30    21.87
SMO 2015   07  08  10    35    22.53
SMO 2015   07  08  10    40    22.81
SMO 2015   07  08  10    45    21.99
SMO 2015   07  08  10    50    21.58
SMO 2015   07  08  10    55    22.12
SMO 2015   07  08  11    00    23.17
SMO 2015   07  08  11    05    22.45
SMO 2015   07  08  11    10    21.72
SMO 2015   07  08  11    15    21.74
SMO 2015   07  08  11    20    22.30
SMO 2015   07  08  11    25    22.43
SMO 2015   07  08  11    30    21.62
SMO 2015   07  08  11    35    21.13
SMO 2015   07  08  11    40    22.32
SMO 2015   07  08  11    45    22.36
SMO 2015   07  08  11    50    21.13
SMO 2015   07  08  11    55    21.29
SMO 2015   07  08  12    00    22.29
SMO 2015   07  08  12    05    22.70
SMO 2015   07  08  12    10    22.01
SMO 2015   07  08  12    15    21.63
SMO 2015   07  08  12    20    21.90
SMO 2015   07  08  12    25    22.67
SMO 2015   07  08  12    30    21.75
SMO 2015   07  08  12    35    21.37
SMO 2015   07  08  12    40    21.72
SMO 2015   07  08  12    45    21.95
SMO 2015   07  08  12    50    21.53
SMO 2015   07  08  12    55    21.45
SMO 2015   07  08  13    00    21.59
SMO 2015   07  08  13    05    20.90
SMO 2015   07  08  13    10    21.35
SMO 2015   07  08  13    15    21.39
SMO 2015   07  08  13    20    22.02
SMO 2015   07  08  13    25    21.69
SMO 2015   07  08  13    30    21.61
SMO 2015   07  08  13    35    21.48
SMO 2015   07  08  13    40    21.45
SMO 2015   07  08  13    45    22.29
SMO 2015   07  08  13    50    21.10
SMO 2015   07  08  13    55    21.73
SMO 2015   07  08  14    00    22.01
SMO 2015   07  08  14    05    21.54
SMO 2015   07  08  14    10    21.84
SMO 2015   07  08  14    15    21.03
SMO 2015   07  08  14    20    21.32
SMO 2015   07  08  14    25    22.70
SMO 2015   07  08  14    30    21.12
SMO 2015   07  08  14    35    21.73
SMO 2015   07  08  14    40    20.89
SMO 2015   07  08  14    45    22.41
SMO 2015   07  08  14    50    21.68
SMO 2015   07  08  14    55    21.90
SMO 2015   07  08  15    00    21.35
SMO 2015   07  08  15    05    21.68
SMO 2015   07  08  15    10    22.13
SMO 2015   07  08  15    15    21.18
SMO 2015   07  08  15    20    21.39
SMO 2015   07  08  15    25    22.10
SMO 2015   07  08  15    30    21.86
SMO 2015   07  08  15    35    21.55
SMO 2015   07  08  15    40    21.93
SMO 2015   07  08  15    45    21.61
SMO 2015   07  08  15    50    22.23
SMO 2015   07  08  15    55    22.34
SMO 2015   07  08  16    00    21.82
SMO 2015   07  08  16    05    21.77
SMO 2015   07  08  16    10    21.62
SMO 2015   07  08  16    15    21.64
SMO 2015   07  08  16    20    21.64
SMO 2015   07  08  16    25    22.13
SMO 2015   07  08  16    30    21.57
SMO 2015   07  08  16    35    21.78
SMO 2015   07  08  16    40    21.55
SMO 2015   07  08  16    45    21.81
SMO 2015   07  08  16    50    22.14
SMO 2015   07  08  16    55    21.73
SMO 2015   07  08  17    00    21.91
SMO 2015   07  08  17    05    21.98
SMO 2015   07  08  17    10    22.55
SMO 2015   07  08  17    15    21.85
SMO 2015   07  08  17    20    22.87
SMO 2015   07  08  17    25    22.00
SMO 2015   07  08  17    30    21.89
SMO 2015   07  08  17    35    22.15
SMO 2015   07  08  17    40    22.78
SMO 2015   07  08  17    45    22.58
SMO 2015   07  08  17    50    22.17
SMO 2015   07  08  17    55    22.27
SMO 2015   07  08  18    00    22.68
SMO 2015   07  08  18    05    22.15
SMO 2015   07  08  18    10    21.94
SMO 2015   07  08  18    15    21.54
SMO 2015   07  08  18    20    21.34
SMO 2015   07  08  18    25    21.68
SMO 2015   07  08  18    30    21.89
SMO 2015   07  08  18    35    21.99
SMO 2015   07  08  18    40    20.97
SMO 2015   07  08  18    45    22.33
SMO 2015   07  08  18    50    21.82
SMO 2015   07  08  18    55    21.92
SMO 2015   07  08  19    00    21.26
SMO 2015   07  08  19    05    21.41
SMO 2015   07  08  19    10    21.51
SMO 2015   07  08  19    15    21.79
SMO 2015   07  08  19    20    21.24
SMO 2015   07  08  19    25    21.95
SMO 2015   07  08  19    30    21.76
SMO 2015   07  08  19    35    20.70
SMO 2015   07  08  19    40    21.48
SMO 2015   07  08  19    45    21.32
SMO 2015   07  08  19    50    21.11
SMO 2015   07  08  19    55    21.32
SMO 2015   07  08  20    00    21.35
SMO 2015   07  08  20    05    21.37
SMO 2015   07  08  20    10    20.93
SMO 2015   07  08  20    15    20.88
SMO 2015   07  08  20    20    20.94
SMO 2015   07  08  20    25    21.17
SMO 2015   07  08  20    30    20.83
SMO 2015   07  08  20    35    20.83
SMO 2015   07  08  20    40    20.29
SMO 2015   07  08  20    45    21.21
SMO 2015   07  08  20    50    20.65
SMO 2015   07  08  20    55    21.00
SMO 2015   07  08  21    00    21.07
SMO 2015   07  08  21    05    20.55
SMO 2015   07  08  21    10    20.66
SMO 2015   07  08  21    15    20.78
SMO 2015   07  08  21    20    20.47
SMO 2015   07  08  21    25    20.21
SMO 2015   07  08  21    30    20.20
SMO 2015   07  08  21    35    19.97
SMO 2015   07  08  21    40    20.29
SMO 2015   07  08  21    45    20.22
SMO 2015   07  08  21    55    20.72
SMO 2015   07  08  22    00    20.23
SMO 2015   07  08  22    05    19.94
SMO 2015   07  08  22    10    19.99
SMO 2015   07  08  22    15    20.28
SMO 2015   07  08  22    20    20.65
SMO 2015   07  08  22    25    20.19
SMO 2015   07  08  22    30    20.18
SMO 2015   07  08  22    35    20.36
SMO 2015   07  08  22    40    19.94
SMO 2015   07  08  22    45    19.93
SMO 2015   07  08  22    50    20.20
SMO 2015   07  08  22    55    19.82
SMO 2015   07  08  23    00    19.59
SMO 2015   07  08  23    05    20.22
SMO 2015   07  08  23    10    20.12
SMO 2015   07  08  23    15    19.61
SMO 2015   07  08  23    20    19.44
SMO 2015   07  08  23    25    19.57
SMO 2015   07  08  23    30    20.04
SMO 2015   07  08  23    35    20.00
SMO 2015   07  08  23    40    18.73
SMO 2015   07  08  23    45    19.03
SMO 2015   07  08  23    50    18.06
SMO 2015   07  08  23    55    19.37
SMO 2015   07  09  00    00    19.24
SMO 2015   07  09  00    05    18.76
SMO 2015   07  09  00    10    20.15
SMO 2015   07  09  00    15    19.76
SMO 2015   07  09  00    20    19.12
SMO 2015   07  09  00    25    19.33
SMO 2015   07  09  00    30    17.56
SMO 2015   07  09  00    35    18.91
SMO 2015   07  09  00    40    18.68
SMO 2015   07  09  00    45    18.96
SMO 2015   07  09  00    50    18.27
SMO 2015   07  09  00    55    19.15
SMO 2015   07  09  01    00    19.21
SMO 2015   07  09  01    05    18.88
SMO 2015   07  09  01    10    19.24
SMO 2015   07  09  01    15    18.69
SMO 2015   07  09  01    20    18.07
SMO 2015   07  09  01    25    18.49
SMO 2015   07  09  01    30    19.18
SMO 2015   07  09  01    35    18.62
SMO 2015   07  09  01    40    18.97
SMO 2015   07  09  01    45    18.04
SMO 2015   07  09  01    50    17.38
SMO 2015   07  09  01    55    18.99
SMO 2015   07  09  02    00    19.49
SMO 2015   07  09  02    10    17.85
SMO 2015   07  09  02    15    18.42
SMO 2015   07  09  02    20    16.69
SMO 2015   07  09  02    25    17.67
SMO 2015   07  09  02    30    17.69
SMO 2015   07  09  02    35    18.65
SMO 2015   07  09  02    40    18.48
SMO 2015   07  09  02    45    18.94
SMO 2015   07  09  02    50    18.21
SMO 2015   07  09  02    55    18.46
SMO 2015   07  09  03    00    19.08
SMO 2015   07  09  03    05    17.74
SMO 2015   07  09  03    10    18.04
SMO 2015   07  09  03    15    17.80
SMO 2015   07  09  03    20    17.93
SMO 2015   07  09  03    25    18.06
SMO 2015   07  09  03    30    18.12
SMO 2015   07  09  03    35    18.13
SMO 2015   07  09  03    40    18.79
SMO 2015   07  09  03    45    18.66
SMO 2015   07  09  03    50    18.33
SMO 2015   07  09  03    55    18.36
SMO 2015   07  09  04    00    17.98
SMO 2015   07  09  04    05    17.53
SMO 2015   07  09  04    10    17.27
SMO 2015   07  09  04    15    17.51
