These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2015   09  01  00    05    32.79
SMO 2015   09  01  00    10    32.45
SMO 2015   09  01  00    15    32.53
SMO 2015   09  01  00    20    32.56
SMO 2015   09  01  00    25    32.03
SMO 2015   09  01  00    30    32.61
SMO 2015   09  01  00    35    32.16
SMO 2015   09  01  00    40    32.40
SMO 2015   09  01  00    45    32.49
SMO 2015   09  01  00    50    31.81
SMO 2015   09  01  00    55    32.38
SMO 2015   09  01  01    00    31.74
SMO 2015   09  01  01    05    32.53
SMO 2015   09  01  01    10    31.88
SMO 2015   09  01  01    15    32.37
SMO 2015   09  01  01    20    31.56
SMO 2015   09  01  01    25    31.74
SMO 2015   09  01  01    30    31.98
SMO 2015   09  01  01    35    31.78
SMO 2015   09  01  01    40    31.83
SMO 2015   09  01  01    45    32.06
SMO 2015   09  01  01    50    31.74
SMO 2015   09  01  01    55    32.31
SMO 2015   09  01  02    00    32.08
SMO 2015   09  01  02    05    31.96
SMO 2015   09  01  02    10    31.97
SMO 2015   09  01  02    15    31.97
SMO 2015   09  01  02    20    31.82
SMO 2015   09  01  02    25    31.50
SMO 2015   09  01  02    30    31.44
SMO 2015   09  01  02    35    31.86
SMO 2015   09  01  02    40    31.73
SMO 2015   09  01  02    45    31.37
SMO 2015   09  01  02    50    31.58
SMO 2015   09  01  02    55    31.71
SMO 2015   09  01  03    00    31.71
SMO 2015   09  01  03    05  9999.99
SMO 2015   09  01  03    10  9999.99
SMO 2015   09  01  03    15  9999.99
SMO 2015   09  01  03    20  9999.99
SMO 2015   09  01  03    25  9999.99
SMO 2015   09  01  03    30  9999.99
SMO 2015   09  01  03    35  9999.99
SMO 2015   09  01  03    40  9999.99
SMO 2015   09  01  03    45  9999.99
SMO 2015   09  01  03    50  9999.99
SMO 2015   09  01  03    55  9999.99
SMO 2015   09  01  04    00  9999.99
SMO 2015   09  01  04    05  9999.99
SMO 2015   09  01  04    10  9999.99
SMO 2015   09  05  04    50    25.36
SMO 2015   09  05  04    55    25.41
SMO 2015   09  05  05    00    24.88
SMO 2015   09  05  05    05    25.04
SMO 2015   09  05  05    10    25.19
SMO 2015   09  05  05    15    25.58
SMO 2015   09  05  05    20    25.53
SMO 2015   09  05  05    25    25.55
SMO 2015   09  05  05    30    25.59
SMO 2015   09  05  05    35    25.75
SMO 2015   09  05  05    40    25.43
SMO 2015   09  05  05    45    25.40
SMO 2015   09  05  05    50    25.24
SMO 2015   09  05  05    55    25.84
SMO 2015   09  05  06    00    26.05
SMO 2015   09  05  06    05    26.05
SMO 2015   09  05  06    10    25.90
SMO 2015   09  05  06    15    26.20
SMO 2015   09  05  06    20    25.80
SMO 2015   09  05  06    25    26.26
SMO 2015   09  05  06    30    26.28
SMO 2015   09  05  06    35    25.59
SMO 2015   09  05  06    40    25.47
SMO 2015   09  05  06    45    26.27
SMO 2015   09  05  06    50    26.03
SMO 2015   09  05  06    55    25.83
SMO 2015   09  05  07    00    25.98
SMO 2015   09  05  07    05    26.42
SMO 2015   09  05  07    10    26.15
SMO 2015   09  05  07    15    25.68
SMO 2015   09  05  07    20    25.86
SMO 2015   09  05  07    25    26.10
SMO 2015   09  05  07    30    26.21
SMO 2015   09  05  07    35    26.33
SMO 2015   09  05  07    40    26.21
SMO 2015   09  05  07    45    26.32
SMO 2015   09  05  07    50    26.51
SMO 2015   09  05  07    55    26.28
SMO 2015   09  05  08    00    26.25
SMO 2015   09  05  08    05    26.15
SMO 2015   09  05  08    10    26.20
SMO 2015   09  05  08    15    26.27
SMO 2015   09  05  08    20    26.37
SMO 2015   09  05  08    25    26.48
SMO 2015   09  05  08    30    26.66
SMO 2015   09  05  08    35    26.43
SMO 2015   09  05  08    40    26.26
SMO 2015   09  05  08    45    26.00
SMO 2015   09  05  08    50    26.55
SMO 2015   09  05  08    55    26.21
SMO 2015   09  05  09    00    26.69
SMO 2015   09  05  09    05    26.52
SMO 2015   09  05  09    10    26.78
SMO 2015   09  05  09    15    26.51
SMO 2015   09  05  09    20    26.54
SMO 2015   09  05  09    25    26.54
SMO 2015   09  05  09    30    26.26
SMO 2015   09  05  09    35    26.71
SMO 2015   09  05  09    40    26.82
SMO 2015   09  05  09    45    26.88
SMO 2015   09  05  09    50    26.96
SMO 2015   09  05  09    55    26.97
SMO 2015   09  05  10    00    26.45
SMO 2015   09  05  10    05    26.85
SMO 2015   09  05  10    10    27.06
SMO 2015   09  05  10    15    26.29
SMO 2015   09  05  10    25    26.78
SMO 2015   09  05  10    30    26.85
SMO 2015   09  05  10    35    26.89
SMO 2015   09  05  10    40    27.12
SMO 2015   09  05  10    45    26.94
SMO 2015   09  05  10    50    26.92
SMO 2015   09  05  10    55    27.16
SMO 2015   09  05  11    00    26.91
SMO 2015   09  05  11    05    26.62
SMO 2015   09  05  11    10    26.57
SMO 2015   09  05  11    15    27.28
SMO 2015   09  05  11    20    27.15
SMO 2015   09  05  11    25    27.37
SMO 2015   09  05  11    30    27.47
SMO 2015   09  05  11    35    27.10
SMO 2015   09  05  11    40    27.57
SMO 2015   09  05  11    45    27.24
SMO 2015   09  05  11    50    26.91
SMO 2015   09  05  11    55    26.75
SMO 2015   09  05  12    00    27.26
SMO 2015   09  05  12    05    27.44
SMO 2015   09  05  12    10    27.35
SMO 2015   09  05  12    15    27.18
SMO 2015   09  05  12    20    27.30
SMO 2015   09  05  12    25    27.36
SMO 2015   09  05  12    30    26.92
SMO 2015   09  05  12    35    27.06
SMO 2015   09  05  12    40    27.75
SMO 2015   09  05  12    45    27.15
SMO 2015   09  05  12    50    27.35
SMO 2015   09  05  12    55    27.32
SMO 2015   09  05  13    00    27.49
SMO 2015   09  05  13    05    27.46
SMO 2015   09  05  13    10    27.43
SMO 2015   09  05  13    15    27.14
SMO 2015   09  05  13    20    27.04
SMO 2015   09  05  13    25    27.31
SMO 2015   09  05  13    30    27.26
SMO 2015   09  05  13    35    27.36
SMO 2015   09  05  13    40    27.48
SMO 2015   09  05  13    45    27.12
SMO 2015   09  05  13    50    27.68
SMO 2015   09  05  13    55    27.40
SMO 2015   09  05  14    00    27.56
SMO 2015   09  05  14    05    27.48
SMO 2015   09  05  14    10    27.04
SMO 2015   09  05  14    15    27.30
SMO 2015   09  05  14    20    27.54
SMO 2015   09  05  14    25    27.59
SMO 2015   09  05  14    30    27.35
SMO 2015   09  05  14    35    27.53
SMO 2015   09  05  14    40    27.94
SMO 2015   09  05  14    45    26.87
