These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2015   01  12  21    20     2.96
SMO 2015   01  12  21    25     2.62
SMO 2015   01  12  21    30     3.88
SMO 2015   01  12  21    35     4.44
SMO 2015   01  12  21    40     5.44
SMO 2015   01  12  21    45     4.73
SMO 2015   01  12  21    50     5.68
SMO 2015   01  12  21    55     5.31
SMO 2015   01  12  22    00     5.19
SMO 2015   01  12  22    05     5.79
SMO 2015   01  12  22    10     5.23
SMO 2015   01  12  22    15     5.15
SMO 2015   01  12  22    20     5.19
SMO 2015   01  12  22    25     5.45
SMO 2015   01  12  22    30     5.68
SMO 2015   01  12  22    35     6.26
SMO 2015   01  12  22    40     6.41
SMO 2015   01  12  22    45     5.91
SMO 2015   01  12  22    50     6.18
SMO 2015   01  12  22    55     5.25
SMO 2015   01  12  23    00     5.64
SMO 2015   01  12  23    05     5.11
SMO 2015   01  12  23    10     5.39
SMO 2015   01  12  23    15     5.67
SMO 2015   01  12  23    20     5.91
SMO 2015   01  12  23    25     5.21
SMO 2015   01  12  23    30     4.63
SMO 2015   01  12  23    35     5.51
SMO 2015   01  12  23    40     5.50
SMO 2015   01  12  23    45     6.05
SMO 2015   01  12  23    50     5.54
SMO 2015   01  12  23    55     5.60
SMO 2015   01  13  00    00     5.51
SMO 2015   01  13  00    05     4.93
SMO 2015   01  13  00    10     5.40
SMO 2015   01  13  00    15     6.03
SMO 2015   01  13  00    20     6.03
SMO 2015   01  13  00    25     5.34
SMO 2015   01  13  00    30     5.45
SMO 2015   01  13  00    35     5.75
SMO 2015   01  13  00    40     5.77
SMO 2015   01  13  00    45     5.11
SMO 2015   01  13  00    50     5.77
SMO 2015   01  13  00    55     6.05
SMO 2015   01  13  01    00     5.94
SMO 2015   01  13  01    05     6.20
SMO 2015   01  13  01    10     5.72
SMO 2015   01  13  01    15     5.88
SMO 2015   01  13  01    20     5.57
SMO 2015   01  13  01    25     5.27
SMO 2015   01  13  01    30     5.25
SMO 2015   01  13  01    35     5.83
SMO 2015   01  13  01    40     5.44
SMO 2015   01  13  01    45     5.23
SMO 2015   01  13  01    50     5.67
SMO 2015   01  13  01    55     5.80
SMO 2015   01  13  02    00     4.87
SMO 2015   01  13  02    05     5.22
SMO 2015   01  13  02    10     5.01
SMO 2015   01  13  02    15     4.92
SMO 2015   01  13  02    20     5.23
SMO 2015   01  13  02    25     5.09
SMO 2015   01  13  02    30     5.06
SMO 2015   01  13  02    35     5.51
SMO 2015   01  13  02    40     5.23
SMO 2015   01  13  02    45     4.77
SMO 2015   01  13  02    50     5.32
SMO 2015   01  13  02    55     5.02
SMO 2015   01  13  03    00     5.28
SMO 2015   01  13  03    05     4.93
SMO 2015   01  13  03    10     5.14
SMO 2015   01  13  03    15     5.48
SMO 2015   01  13  03    20     4.93
SMO 2015   01  13  03    25     5.25
SMO 2015   01  13  03    30     4.80
SMO 2015   01  13  03    35     5.13
SMO 2015   01  13  03    40     5.24
SMO 2015   01  13  03    45     5.06
SMO 2015   01  13  03    50     5.37
SMO 2015   01  13  03    55     4.48
SMO 2015   01  13  04    00     5.01
SMO 2015   01  13  04    05     5.24
SMO 2015   01  13  04    10     5.28
SMO 2015   01  13  04    15     5.13
SMO 2015   01  13  04    20     4.99
SMO 2015   01  13  04    25     5.30
SMO 2015   01  13  04    30     4.87
SMO 2015   01  13  04    35     5.18
SMO 2015   01  13  04    40     4.78
