These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
SMO 2015   05  01  00    10.40
SMO 2015   05  01  01    10.74
SMO 2015   05  01  02    11.17
SMO 2015   05  01  03    11.11
SMO 2015   05  01  04    11.34
SMO 2015   05  01  05    11.47
SMO 2015   05  01  06    11.10
SMO 2015   05  01  07    10.72
SMO 2015   05  01  08    12.10
SMO 2015   05  01  09    10.96
SMO 2015   05  01  10    10.83
SMO 2015   05  01  11    10.84
SMO 2015   05  01  12    10.96
SMO 2015   05  01  13    11.56
SMO 2015   05  01  14    12.53
SMO 2015   05  01  15    11.77
SMO 2015   05  01  16    11.62
SMO 2015   05  01  17    10.88
SMO 2015   05  01  18    10.86
SMO 2015   05  01  19    11.44
SMO 2015   05  01  20    11.02
SMO 2015   05  01  21    10.94
SMO 2015   05  01  22    10.92
SMO 2015   05  01  23    12.04
SMO 2015   05  02  00    12.56
SMO 2015   05  02  01    12.29
SMO 2015   05  02  02    12.40
SMO 2015   05  02  03    12.40
SMO 2015   05  02  04    12.76
SMO 2015   05  02  05    13.41
SMO 2015   05  02  06    14.53
SMO 2015   05  02  07    15.70
SMO 2015   05  02  08    15.25
SMO 2015   05  02  09    15.36
SMO 2015   05  02  10    16.08
SMO 2015   05  02  11    16.80
SMO 2015   05  02  12    17.43
SMO 2015   05  02  13    18.32
SMO 2015   05  02  14    18.58
SMO 2015   05  02  15    19.99
SMO 2015   05  02  16    20.67
SMO 2015   05  02  17    23.81
SMO 2015   05  02  18    26.07
SMO 2015   05  02  19    26.02
SMO 2015   05  02  20    24.95
SMO 2015   05  02  21    24.28
SMO 2015   05  02  22    24.84
SMO 2015   05  02  23    24.57
SMO 2015   05  03  00    23.35
SMO 2015   05  03  01    22.81
SMO 2015   05  03  02    22.70
SMO 2015   05  03  03    22.96
SMO 2015   05  03  04    23.10
SMO 2015   05  03  05    22.28
SMO 2015   05  03  06    21.57
SMO 2015   05  03  07    20.57
SMO 2015   05  03  08    20.29
SMO 2015   05  03  09    19.63
SMO 2015   05  03  10    18.22
SMO 2015   05  03  11    18.77
SMO 2015   05  03  12    17.74
SMO 2015   05  03  13    17.14
SMO 2015   05  03  14    17.90
SMO 2015   05  03  15    18.27
SMO 2015   05  03  16    17.34
SMO 2015   05  03  17    17.33
SMO 2015   05  03  18    16.75
SMO 2015   05  03  19    14.81
SMO 2015   05  03  20    14.51
SMO 2015   05  03  21    14.07
SMO 2015   05  03  22    13.30
SMO 2015   05  03  23    13.60
SMO 2015   05  04  00    14.39
SMO 2015   05  04  22    13.61
SMO 2015   05  04  23    12.95
SMO 2015   05  05  00    12.52
SMO 2015   05  05  01    11.81
SMO 2015   05  05  02    11.59
SMO 2015   05  05  03    11.88
SMO 2015   05  05  04    11.74
SMO 2015   05  05  05    11.59
SMO 2015   05  05  06    11.55
SMO 2015   05  05  07    11.47
SMO 2015   05  05  08    11.19
SMO 2015   05  05  09    11.53
SMO 2015   05  05  10    11.35
SMO 2015   05  05  11    11.72
SMO 2015   05  05  12    11.32
SMO 2015   05  05  13    11.33
SMO 2015   05  05  14    11.07
SMO 2015   05  05  15    11.75
SMO 2015   05  05  16    12.21
SMO 2015   05  05  17    11.78
SMO 2015   05  05  18    11.87
SMO 2015   05  05  19    11.46
SMO 2015   05  05  20    11.51
SMO 2015   05  05  21    11.60
SMO 2015   05  05  22    12.16
SMO 2015   05  05  23    12.19
SMO 2015   05  06  00    12.24
SMO 2015   05  06  01    12.39
SMO 2015   05  06  02    12.76
SMO 2015   05  06  03    13.84
SMO 2015   05  06  04    14.09
SMO 2015   05  06  05    13.26
SMO 2015   05  06  06    13.63
SMO 2015   05  06  07    13.27
SMO 2015   05  06  08    12.71
SMO 2015   05  06  09    12.92
SMO 2015   05  06  10    12.15
SMO 2015   05  06  11    12.29
SMO 2015   05  06  12    12.37
SMO 2015   05  06  13    12.35
SMO 2015   05  06  14    12.35
SMO 2015   05  06  15    12.10
SMO 2015   05  06  16    11.62
SMO 2015   05  06  17    12.05
SMO 2015   05  06  18    12.28
SMO 2015   05  06  19    12.22
SMO 2015   05  06  20    11.67
