Station_id: PCO 
Station_name: Pico, Azores 
Station_country: Portugal
Station_lon: -28.401
Station_lat: 38.47
Station_alt: 2225 masl
Station_type: Background
Station_type_of_area:  Remote
Station_category: High elevation-Mountain
Timeshift_from_UTC:-1 
Contributor: University of Colorado-Institute of Arctic and Alpine Research, National Oceanic and Atmospheric Administration-Global Monitoring Division, Michigan Technological University  
Contributor_shortname: CU INSTAAR, NOAA-GMD, MTU	
Contributor_country: United States
Dataset_PI: Detlev Helmig, Jacques Hueber, Claudio and Lynn Mazzoleni (2001-2011), Audra McClure-Begley (2011-Current)
Dataset_PI_email: Detlev.Helmig@Colorado.edu, Jacques.Hueber@colorado.edu, cmazzoleni@mtu.edu and lrmazzol@mtu.edu, Audra.mcclure@noaa.gov
Sampling_type: continuous, Seasonal
Measurement_method: Ultraviolet absorption-photometric ozone analyzer
Original_units: ppb
Calibration: NIST standard at NOAA-GMD DSRC
Comments: Collaborations--Michigan Technological University: PIs Claudio Mazzoleni cmazzoleni@mtu.edu and Lynn Mazzoleni lrmazzol@mtu.edu, Chris Owen, Late Richard Honrath (2001-2009)
						  National Oceanic and Atmospheric Administration Global Monitoring Division: PIs Audra McClure-Begley Audra.mcclure@noaa.gov and Irina Petropavlovskikh Irina.petro@noaa.gov
						  University of Colorado-INSTAAR: PIs Detlev Helmig Detlev.helmig@colorado.edu and Jacques Hueber Jacques.Hueber@colorado.edu
Time; Value						  
2001-01-01  00:00;-999
2001-01-01  01:00;-999
2001-01-01  02:00;-999
2001-01-01  03:00;-999
2001-01-01  04:00;-999
2001-01-01  05:00;-999
2001-01-01  06:00;-999
2001-01-01  07:00;-999
2001-01-01  08:00;-999
2001-01-01  09:00;-999
2001-01-01  10:00;-999
2001-01-01  11:00;-999
2001-01-01  12:00;-999
2001-01-01  13:00;-999
2001-01-01  14:00;-999
2001-01-01  15:00;-999
2001-01-01  16:00;-999
2001-01-01  17:00;-999
2001-01-01  18:00;-999
2001-01-01  19:00;-999
2001-01-01  20:00;-999
2001-01-01  21:00;-999
2001-01-01  22:00;-999
2001-01-01  23:00;-999
2001-01-02  00:00;-999
2001-01-02  01:00;-999
2001-01-02  02:00;-999
2001-01-02  03:00;-999
2001-01-02  04:00;-999
2001-01-02  05:00;-999
2001-01-02  06:00;-999
2001-01-02  07:00;-999
2001-01-02  08:00;-999
2001-01-02  09:00;-999
2001-01-02  10:00;-999
2001-01-02  11:00;-999
2001-01-02  12:00;-999
2001-01-02  13:00;-999
2001-01-02  14:00;-999
2001-01-02  15:00;-999
2001-01-02  16:00;-999
2001-01-02  17:00;-999
2001-01-02  18:00;-999
2001-01-02  19:00;-999
2001-01-02  20:00;-999
2001-01-02  21:00;-999
2001-01-02  22:00;-999
2001-01-02  23:00;-999
2001-01-03  00:00;-999
2001-01-03  01:00;-999
2001-01-03  02:00;-999
2001-01-03  03:00;-999
2001-01-03  04:00;-999
2001-01-03  05:00;-999
2001-01-03  06:00;-999
2001-01-03  07:00;-999
2001-01-03  08:00;-999
2001-01-03  09:00;-999
2001-01-03  10:00;-999
2001-01-03  11:00;-999
2001-01-03  12:00;-999
2001-01-03  13:00;-999
2001-01-03  14:00;-999
2001-01-03  15:00;-999
2001-01-03  16:00;-999
2001-01-03  17:00;-999
2001-01-03  18:00;-999
2001-01-03  19:00;-999
2001-01-03  20:00;-999
2001-01-03  21:00;-999
2001-01-03  22:00;-999
2001-01-03  23:00;-999
2001-01-04  00:00;-999
2001-01-04  01:00;-999
2001-01-04  02:00;-999
2001-01-04  03:00;-999
2001-01-04  04:00;-999
2001-01-04  05:00;-999
2001-01-04  06:00;-999
2001-01-04  07:00;-999
2001-01-04  08:00;-999
2001-01-04  09:00;-999
2001-01-04  10:00;-999
2001-01-04  11:00;-999
2001-01-04  12:00;-999
2001-01-04  13:00;-999
2001-01-04  14:00;-999
2001-01-04  15:00;-999
2001-01-04  16:00;-999
2001-01-04  17:00;-999
2001-01-04  18:00;-999
2001-01-04  19:00;-999
2001-01-04  20:00;-999
2001-01-04  21:00;-999
2001-01-04  22:00;-999
2001-01-04  23:00;-999
2001-01-05  00:00;-999
2001-01-05  01:00;-999
2001-01-05  02:00;-999
2001-01-05  03:00;-999
2001-01-05  04:00;-999
2001-01-05  05:00;-999
2001-01-05  06:00;-999
2001-01-05  07:00;-999
2001-01-05  08:00;-999
2001-01-05  09:00;-999
2001-01-05  10:00;-999
2001-01-05  11:00;-999
2001-01-05  12:00;-999
2001-01-05  13:00;-999
2001-01-05  14:00;-999
2001-01-05  15:00;-999
2001-01-05  16:00;-999
2001-01-05  17:00;-999
2001-01-05  18:00;-999
2001-01-05  19:00;-999
2001-01-05  20:00;-999
2001-01-05  21:00;-999
