These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
BMW 2018   10  01  00     39.38
BMW 2018   10  01  01     39.38
BMW 2018   10  01  02     39.05
BMW 2018   10  01  03     38.90
BMW 2018   10  01  04     40.32
BMW 2018   10  01  05     41.43
BMW 2018   10  01  06     40.24
BMW 2018   10  01  07     43.49
BMW 2018   10  01  08     46.17
BMW 2018   10  01  09     47.22
BMW 2018   10  01  10     46.56
BMW 2018   10  01  11     45.04
BMW 2018   10  01  12     43.15
BMW 2018   10  01  13     42.22
BMW 2018   10  01  14     42.48
BMW 2018   10  01  15   9999.99
BMW 2018   10  01  16     42.21
BMW 2018   10  01  17     41.08
BMW 2018   10  01  18     40.49
BMW 2018   10  01  19     39.61
BMW 2018   10  01  20     39.16
BMW 2018   10  01  21     39.71
BMW 2018   10  01  22     39.07
BMW 2018   10  01  23     39.88
BMW 2018   10  02  00     39.66
BMW 2018   10  02  01     38.09
BMW 2018   10  02  02     37.17
BMW 2018   10  02  03     37.37
BMW 2018   10  02  04     37.11
BMW 2018   10  02  05     36.18
BMW 2018   10  02  06     36.71
BMW 2018   10  02  07     38.64
BMW 2018   10  02  08     37.20
BMW 2018   10  02  09     35.69
BMW 2018   10  02  10     34.84
BMW 2018   10  02  11     34.48
BMW 2018   10  02  12     34.70
BMW 2018   10  02  13     33.89
BMW 2018   10  02  14     33.83
BMW 2018   10  02  15     34.14
BMW 2018   10  02  16     33.81
BMW 2018   10  02  17     33.15
BMW 2018   10  02  18     33.35
BMW 2018   10  02  19     34.24
BMW 2018   10  02  20     36.15
BMW 2018   10  02  21     38.25
BMW 2018   10  02  22     38.70
BMW 2018   10  02  23     38.03
BMW 2018   10  03  00     36.86
BMW 2018   10  03  01     36.87
BMW 2018   10  03  02     37.00
BMW 2018   10  03  03     36.31
BMW 2018   10  03  04     35.27
BMW 2018   10  03  05     35.30
BMW 2018   10  03  06     36.37
BMW 2018   10  03  07     37.18
BMW 2018   10  03  08     37.81
BMW 2018   10  03  09     38.49
BMW 2018   10  03  10     37.49
BMW 2018   10  03  11     36.60
BMW 2018   10  03  12     36.68
BMW 2018   10  03  13     36.42
BMW 2018   10  03  14     36.65
BMW 2018   10  03  15     36.10
BMW 2018   10  03  16     35.53
BMW 2018   10  03  17     35.45
BMW 2018   10  03  18     35.55
BMW 2018   10  03  19     35.18
BMW 2018   10  03  20     34.28
BMW 2018   10  03  21     33.98
BMW 2018   10  03  22     34.53
BMW 2018   10  03  23     32.48
BMW 2018   10  04  00     32.17
BMW 2018   10  04  01     32.63
BMW 2018   10  04  02     31.38
BMW 2018   10  04  03     31.41
BMW 2018   10  04  04     31.36
BMW 2018   10  04  05     32.10
BMW 2018   10  04  06     32.17
BMW 2018   10  04  07     31.74
BMW 2018   10  04  08     32.44
BMW 2018   10  04  09     32.75
BMW 2018   10  04  10     30.99
BMW 2018   10  04  11     30.07
BMW 2018   10  04  12     29.51
BMW 2018   10  04  13     30.51
BMW 2018   10  04  14     30.91
BMW 2018   10  04  15     31.33
BMW 2018   10  04  16     31.05
BMW 2018   10  04  17     32.29
BMW 2018   10  04  18     32.70
BMW 2018   10  04  19     33.98
BMW 2018   10  04  20     34.17
BMW 2018   10  04  21     35.70
BMW 2018   10  04  22     36.55
BMW 2018   10  04  23     34.93
BMW 2018   10  05  00     35.91
BMW 2018   10  05  01     38.21
BMW 2018   10  05  02     39.05
BMW 2018   10  05  03     40.64
BMW 2018   10  05  04     42.90
BMW 2018   10  05  05     42.32
BMW 2018   10  05  06     42.48
BMW 2018   10  05  07     41.79
BMW 2018   10  05  08     41.98
BMW 2018   10  05  09     41.49
BMW 2018   10  05  10     40.68
BMW 2018   10  05  11     40.73
BMW 2018   10  05  12     40.67
BMW 2018   10  05  13     40.61
BMW 2018   10  05  14     40.61
BMW 2018   10  05  15     40.83
BMW 2018   10  05  16     40.68
BMW 2018   10  05  17     40.40
BMW 2018   10  05  18     40.42
BMW 2018   10  05  19     40.92
BMW 2018   10  05  20     40.23
BMW 2018   10  05  21     39.91
BMW 2018   10  05  22     39.84
BMW 2018   10  05  23     39.30
BMW 2018   10  06  00     39.49
BMW 2018   10  06  01     39.19
BMW 2018   10  06  02     39.89
BMW 2018   10  06  03     39.47
BMW 2018   10  06  04     39.39
BMW 2018   10  06  05     39.45
BMW 2018   10  06  06     39.44
BMW 2018   10  06  07     39.69
BMW 2018   10  06  08     40.34
BMW 2018   10  06  09     40.18
BMW 2018   10  06  10     40.45
BMW 2018   10  06  11     40.68
BMW 2018   10  06  12     41.72
BMW 2018   10  06  13     42.68
BMW 2018   10  06  14     42.96
BMW 2018   10  06  15     42.03
BMW 2018   10  06  16     41.95
BMW 2018   10  06  17     41.66
BMW 2018   10  06  18     40.96
BMW 2018   10  06  19     39.68
BMW 2018   10  06  20     39.99
BMW 2018   10  06  21     40.70
BMW 2018   10  06  22     40.38
BMW 2018   10  06  23     38.66
BMW 2018   10  07  00     41.93
BMW 2018   10  07  01     42.53
BMW 2018   10  07  02     42.67
BMW 2018   10  07  03     41.99
BMW 2018   10  07  04     43.26
BMW 2018   10  07  05     43.48
BMW 2018   10  07  06     42.95
BMW 2018   10  07  07     42.60
BMW 2018   10  07  08     41.84
BMW 2018   10  07  09     41.45
BMW 2018   10  07  10     40.97
BMW 2018   10  07  11     40.76
BMW 2018   10  07  12     38.95
BMW 2018   10  07  13     39.30
BMW 2018   10  07  14     37.50
BMW 2018   10  07  15     36.44
BMW 2018   10  07  16     38.58
BMW 2018   10  07  17     40.83
BMW 2018   10  07  18     40.57
BMW 2018   10  07  19     40.55
BMW 2018   10  07  20     39.95
BMW 2018   10  07  21     40.88
BMW 2018   10  07  22     38.21
BMW 2018   10  07  23     36.15
BMW 2018   10  08  00     35.54
BMW 2018   10  08  01     36.29
BMW 2018   10  08  02     35.43
BMW 2018   10  08  03     31.61
BMW 2018   10  08  04     36.10
BMW 2018   10  08  05     41.67
BMW 2018   10  08  06     42.37
BMW 2018   10  08  07     43.19
BMW 2018   10  08  08     44.29
BMW 2018   10  08  09     46.05
BMW 2018   10  08  10     47.32
BMW 2018   10  08  11     47.00
BMW 2018   10  08  12     46.73
BMW 2018   10  08  13     46.52
BMW 2018   10  08  14     46.05
BMW 2018   10  08  15     44.99
BMW 2018   10  08  16     44.26
BMW 2018   10  08  17     42.04
BMW 2018   10  08  18     40.76
BMW 2018   10  08  19     34.96
BMW 2018   10  08  20   9999.99
BMW 2018   10  08  21   9999.99
BMW 2018   10  08  22   9999.99
BMW 2018   10  15  00     42.22
BMW 2018   10  15  01     42.76
BMW 2018   10  15  02     42.90
BMW 2018   10  15  03     43.37
BMW 2018   10  15  04     43.32
