These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2011   03  10  08    00     7.87
SMO 2011   03  10  09    00     8.18
SMO 2011   03  10  10    00     8.72
SMO 2011   03  10  11    00     8.91
SMO 2011   03  10  12    00    10.62
SMO 2011   03  10  13    00    10.51
SMO 2011   03  10  14    00     9.81
SMO 2011   03  10  15    00    10.36
SMO 2011   03  10  16    00    11.22
SMO 2011   03  10  17    00    11.38
SMO 2011   03  10  18    00    10.80
SMO 2011   03  10  19    00    10.50
SMO 2011   03  10  20    00    10.06
SMO 2011   03  10  21    00    11.08
SMO 2011   03  10  22    00    12.50
SMO 2011   03  10  23    00    12.34
SMO 2011   03  11  00    00    12.35
SMO 2011   03  11  01    00    13.28
SMO 2011   03  11  02    00    13.88
SMO 2011   03  11  03    00    12.35
SMO 2011   03  11  04    00    11.02
SMO 2011   03  11  05    00    10.23
SMO 2011   03  11  06    00     9.83
SMO 2011   03  11  07    00     9.42
SMO 2011   03  11  08    00     9.38
SMO 2011   03  11  09    00    10.48
SMO 2011   03  11  10    00    12.16
SMO 2011   03  11  11    00    11.56
SMO 2011   03  11  12    00    10.80
SMO 2011   03  11  13    00    10.45
SMO 2011   03  11  14    00    10.44
SMO 2011   03  11  15    00    10.46
SMO 2011   03  11  16    00    10.19
SMO 2011   03  11  17    00    10.52
SMO 2011   03  11  18    00    10.87
SMO 2011   03  11  19    00    11.44
SMO 2011   03  11  20    00    11.68
SMO 2011   03  11  21    00    11.98
SMO 2011   03  11  22    00    12.02
SMO 2011   03  11  23    00    11.94
SMO 2011   03  12  00    00    11.48
SMO 2011   03  12  01    00    11.67
SMO 2011   03  12  02    00    11.88
SMO 2011   03  12  03    00    11.85
