These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2013   05  01  00    00     7.13
SMO 2013   05  01  00    05     6.77
SMO 2013   05  01  00    10     7.21
SMO 2013   05  01  00    15     7.11
SMO 2013   05  01  00    20     7.99
SMO 2013   05  01  00    25     8.77
SMO 2013   05  01  00    30     8.08
SMO 2013   05  01  00    35     7.98
SMO 2013   05  01  00    40    10.68
SMO 2013   05  01  00    45     8.39
SMO 2013   05  01  00    50     6.07
SMO 2013   05  01  00    55     5.99
SMO 2013   05  01  01    00     6.60
SMO 2013   05  01  01    05     6.97
SMO 2013   05  01  01    10     6.52
SMO 2013   05  01  01    15     6.86
SMO 2013   05  01  01    20     6.12
SMO 2013   05  01  01    25     6.29
SMO 2013   05  01  01    30     6.48
SMO 2013   05  01  01    35     5.98
SMO 2013   05  01  01    40     6.29
SMO 2013   05  01  01    45     6.63
SMO 2013   05  01  01    50     6.16
SMO 2013   05  01  01    55     6.37
SMO 2013   05  01  02    00     6.33
SMO 2013   05  01  02    05     6.18
SMO 2013   05  01  02    10     6.86
SMO 2013   05  01  02    15     6.13
SMO 2013   05  01  02    20     6.07
SMO 2013   05  01  02    25     6.56
SMO 2013   05  01  02    30     7.82
SMO 2013   05  01  02    35     7.24
SMO 2013   05  01  02    40     7.28
SMO 2013   05  01  02    45     7.22
SMO 2013   05  01  02    50     7.05
