These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
SMO 2013   11  01  00    19.69
SMO 2013   11  01  01    20.55
SMO 2013   11  01  02    21.10
SMO 2013   11  01  03    20.92
SMO 2013   11  01  04    20.51
SMO 2013   11  01  05    19.65
SMO 2013   11  01  06    19.49
SMO 2013   11  01  07    19.28
SMO 2013   11  01  08    18.68
SMO 2013   11  01  09    24.43
SMO 2013   11  01  10    25.34
SMO 2013   11  01  11    25.68
SMO 2013   11  01  12    25.35
SMO 2013   11  01  13    25.03
SMO 2013   11  01  14    25.24
SMO 2013   11  01  15    25.86
SMO 2013   11  01  16    26.02
SMO 2013   11  01  17    26.13
SMO 2013   11  01  18    26.90
SMO 2013   11  01  19    26.24
SMO 2013   11  01  20    27.05
SMO 2013   11  01  21    25.57
SMO 2013   11  01  22    23.49
SMO 2013   11  01  23    22.00
SMO 2013   11  02  00    20.73
SMO 2013   11  02  01    20.70
SMO 2013   11  02  02    19.46
SMO 2013   11  02  03    18.13
SMO 2013   11  02  04    17.01
SMO 2013   11  02  05    16.63
SMO 2013   11  02  06    16.51
SMO 2013   11  02  07    16.18
SMO 2013   11  02  08    15.60
SMO 2013   11  02  09    15.22
SMO 2013   11  02  10    14.19
SMO 2013   11  02  11    14.05
SMO 2013   11  02  12    13.76
SMO 2013   11  02  13    13.51
SMO 2013   11  02  14    13.05
SMO 2013   11  02  15    14.94
SMO 2013   11  02  16    15.73
SMO 2013   11  02  17    16.67
SMO 2013   11  02  18    17.43
SMO 2013   11  02  19    17.77
SMO 2013   11  02  20    17.92
SMO 2013   11  02  21    18.27
SMO 2013   11  02  22    17.94
SMO 2013   11  02  23    17.72
SMO 2013   11  03  00    17.49
SMO 2013   11  03  01    17.09
SMO 2013   11  03  02    17.27
SMO 2013   11  03  03    17.45
SMO 2013   11  03  04    17.28
SMO 2013   11  03  05    17.61
SMO 2013   11  03  06    17.24
SMO 2013   11  03  07    17.65
SMO 2013   11  03  08    18.09
SMO 2013   11  03  09    18.41
SMO 2013   11  03  10    18.32
SMO 2013   11  03  11    18.38
