These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
SMO 2012   04  01  00     5.54
SMO 2012   04  01  01     6.42
SMO 2012   04  01  02     6.00
SMO 2012   04  01  03     5.48
SMO 2012   04  01  04     5.55
SMO 2012   04  01  05     5.42
SMO 2012   04  01  06     5.35
SMO 2012   04  01  07     5.49
SMO 2012   04  01  08     5.56
SMO 2012   04  01  09     5.64
SMO 2012   04  01  10     5.65
SMO 2012   04  01  11     5.53
SMO 2012   04  01  12     5.69
SMO 2012   04  01  13     6.18
SMO 2012   04  01  14     6.10
SMO 2012   04  01  15     5.55
SMO 2012   04  01  16     5.85
SMO 2012   04  01  17     6.64
SMO 2012   04  01  18     7.28
SMO 2012   04  01  19     6.79
SMO 2012   04  01  20     6.80
SMO 2012   04  01  21     7.19
SMO 2012   04  01  22     7.13
SMO 2012   04  01  23     6.98
SMO 2012   04  02  00     6.97
SMO 2012   04  02  01     6.94
SMO 2012   04  02  02     6.66
SMO 2012   04  02  03     6.41
SMO 2012   04  02  04     6.42
SMO 2012   04  02  05     6.39
SMO 2012   04  02  06     6.54
SMO 2012   04  02  07     6.50
SMO 2012   04  02  08     6.55
SMO 2012   04  02  09     6.65
SMO 2012   04  02  10     6.90
SMO 2012   04  02  11     7.89
SMO 2012   04  02  12     8.86
SMO 2012   04  02  13     8.99
SMO 2012   04  02  14     8.92
SMO 2012   04  02  15     9.44
SMO 2012   04  02  16    10.41
SMO 2012   04  02  17    10.44
SMO 2012   04  02  18    10.25
SMO 2012   04  02  19    10.23
SMO 2012   04  02  20     9.94
SMO 2012   04  02  21     9.86
SMO 2012   04  02  22     9.54
SMO 2012   04  02  23     9.39
SMO 2012   04  03  00     9.25
SMO 2012   04  03  01     8.88
SMO 2012   04  03  02     9.21
SMO 2012   04  03  03     8.30
SMO 2012   04  03  04     8.11
SMO 2012   04  03  05     8.00
SMO 2012   04  03  06     8.11
SMO 2012   04  03  07     7.95
SMO 2012   04  03  08     8.22
SMO 2012   04  03  09     8.05
SMO 2012   04  03  10     7.67
SMO 2012   04  03  11     7.92
SMO 2012   04  03  12     7.81
SMO 2012   04  03  13     8.02
SMO 2012   04  03  14     8.29
SMO 2012   04  03  15     8.17
SMO 2012   04  03  16     8.54
SMO 2012   04  03  17     8.76
SMO 2012   04  03  18     8.68
SMO 2012   04  03  19     8.60
SMO 2012   04  03  20     8.59
SMO 2012   04  03  21     8.88
SMO 2012   04  03  22     8.77
SMO 2012   04  03  23     8.22
SMO 2012   04  04  00     8.01
SMO 2012   04  04  01     7.97
SMO 2012   04  04  02     7.77
SMO 2012   04  04  03     7.84
SMO 2012   04  04  04     7.99
SMO 2012   04  04  05     7.43
SMO 2012   04  04  06     7.41
SMO 2012   04  04  07     6.83
SMO 2012   04  04  08     7.21
SMO 2012   04  04  09     7.56
SMO 2012   04  04  10     7.70
SMO 2012   04  04  11     7.99
SMO 2012   04  04  12     8.11
SMO 2012   04  04  13     7.65
SMO 2012   04  04  14     8.39
SMO 2012   04  04  15     8.58
SMO 2012   04  04  16     8.24
SMO 2012   04  04  17     7.93
SMO 2012   04  04  18     8.50
SMO 2012   04  04  19     8.15
SMO 2012   04  04  20     8.28
SMO 2012   04  04  21     7.18
SMO 2012   04  04  22     6.39
SMO 2012   04  04  23     6.78
SMO 2012   04  05  00     6.46
SMO 2012   04  05  01     6.25
SMO 2012   04  05  02     6.47
SMO 2012   04  05  03     6.33
SMO 2012   04  05  04     6.44
SMO 2012   04  05  05     6.64
SMO 2012   04  05  06     6.96
SMO 2012   04  05  07     6.52
SMO 2012   04  05  08     6.19
SMO 2012   04  05  09     6.23
SMO 2012   04  05  10     6.51
SMO 2012   04  05  11     6.39
SMO 2012   04  05  12     5.69
SMO 2012   04  05  13     5.68
SMO 2012   04  05  14     5.57
SMO 2012   04  05  15     5.30
SMO 2012   04  05  16     5.31
SMO 2012   04  05  17     4.97
SMO 2012   04  05  18     2.34
SMO 2012   04  05  19     3.94
SMO 2012   04  05  20     4.75
SMO 2012   04  05  21     5.22
SMO 2012   04  05  22     5.42
SMO 2012   04  05  23     4.48
SMO 2012   04  06  00     6.63
SMO 2012   04  06  01     7.98
SMO 2012   04  06  02     5.85
SMO 2012   04  06  03     6.50
SMO 2012   04  06  04     8.83
SMO 2012   04  06  05    11.07
SMO 2012   04  06  06    10.48
SMO 2012   04  06  07     7.50
SMO 2012   04  06  08     6.13
SMO 2012   04  06  09     5.92
SMO 2012   04  06  10     6.29
SMO 2012   04  06  11     5.98
SMO 2012   04  06  12     4.67
SMO 2012   04  06  13     2.71
SMO 2012   04  06  14     3.37
SMO 2012   04  06  15     2.28
SMO 2012   04  06  16     3.55
SMO 2012   04  06  17     6.72
SMO 2012   04  06  18     6.05
SMO 2012   04  06  19     6.29
SMO 2012   04  06  20     4.40
SMO 2012   04  06  21     5.08
SMO 2012   04  06  22     4.59
SMO 2012   04  06  23     4.16
SMO 2012   04  07  00     3.69
SMO 2012   04  07  01     3.28
SMO 2012   04  07  02     3.20
SMO 2012   04  07  03     3.14
SMO 2012   04  07  04     2.90
SMO 2012   04  07  05     2.85
SMO 2012   04  07  06     3.75
SMO 2012   04  07  07     3.70
SMO 2012   04  07  08     3.62
SMO 2012   04  07  09     4.04
SMO 2012   04  07  10     3.86
SMO 2012   04  07  11     3.76
SMO 2012   04  07  12     4.50
SMO 2012   04  07  13     4.19
SMO 2012   04  07  14     3.91
SMO 2012   04  07  15     3.86
SMO 2012   04  07  16     4.14
SMO 2012   04  07  17     4.27
SMO 2012   04  07  18     4.17
SMO 2012   04  07  19     4.44
SMO 2012   04  07  20     4.69
SMO 2012   04  07  21     3.77
