,Daily mean ozone
2007-01-31,25.477096774193544
2007-02-28,29.725714285714282
2007-03-31,40.83387096774192
2007-04-30,43.120133333333335
2007-05-31,47.49832258064516
2007-06-30,45.641076923076916
2007-07-31,47.27274193548388
2007-08-31,46.87606451612902
2007-09-30,35.9722
2007-10-31,32.45670967741935
2007-11-30,26.880466666666663
2007-12-31,21.193516129032258
2008-01-31,25.53216129032258
2008-02-29,27.654068965517244
2008-03-31,40.13370967741936
2008-04-30,41.225066666666656
2008-05-31,45.36022580645161
2008-06-30,49.39986666666667
2008-07-31,47.91680645161291
2008-08-31,40.52341935483871
2008-09-30,32.73403333333333
2008-10-31,29.007354838709684
2008-11-30,24.115266666666667
2008-12-31,21.009419354838716
2009-01-31,25.499290322580645
2009-02-28,34.67467857142857
2009-03-31,36.34138709677419
2009-04-30,46.11103333333333
2009-05-31,34.889806451612905
2009-06-30,41.5583
2009-07-31,40.95774193548386
2009-08-31,33.17745161290324
2009-09-30,27.49723333333333
2009-10-31,25.22819354838709
2009-11-30,23.82363333333333
2009-12-31,24.900548387096773
2010-01-31,25.31832258064516
2010-02-28,32.47217857142857
2010-03-31,40.46100000000001
2010-04-30,42.088866666666675
2010-05-31,39.887096774193544
2010-06-30,42.83603333333334
2010-07-31,42.19477419354839
2010-08-31,41.054866666666676
2010-09-30,39.05
2010-10-31,32.27293103448275
2010-11-30,26.934766666666665
2010-12-31,25.044448275862063
2011-01-31,26.044703703703707
2011-02-28,34.561523809523806
2011-03-31,39.398666666666664
2011-04-30,38.56806666666667
2011-05-31,43.62503225806451
2011-06-30,49.69033333333333
2011-07-31,48.84809677419353
2011-08-31,41.58396774193549
2011-09-30,29.835600000000007
2011-10-31,29.595387096774196
2011-11-30,28.762833333333337
2011-12-31,23.81471428571429
2012-01-31,25.028193548387097
2012-02-29,29.986172413793103
2012-03-31,35.99058064516129
2012-04-30,42.90846666666667
2012-05-31,39.40570967741936
2012-06-30,44.09604000000001
2012-07-31,40.0578947368421
2012-08-31,40.69242857142857
2012-09-30,35.063433333333336
2012-10-31,29.703777777777777
2012-11-30,26.017133333333334
2012-12-31,23.325064516129032
2013-01-31,26.25693548387097
2013-02-28,31.83907142857143
2013-03-31,38.97777419354839
2013-04-30,45.368633333333335
2013-05-31,41.255967741935486
2013-06-30,37.70026666666667
2013-07-31,32.980896551724136
2013-08-31,34.97185714285714
2013-09-30,35.137966666666664
2013-10-31,31.06625806451613
2013-11-30,27.971799999999998
2013-12-31,25.42412903225806
2014-01-31,28.712161290322584
2014-02-28,33.71403571428571
2014-03-31,38.554
2014-04-30,43.857233333333355
2014-05-31,42.249870967741934
2014-06-30,41.258100000000006
2014-07-31,38.69642307692308
2014-08-31,35.24638709677419
2014-09-30,29.28836666666666
2014-10-31,30.506322580645158
2014-11-30,28.164066666666667
2014-12-31,20.464387096774196
2015-01-31,26.491615384615383
2015-02-28,32.86657142857143
2015-03-31,37.35900000000001
2015-04-30,41.6609
2015-05-31,40.148612903225796
2015-06-30,38.9971
2015-07-31,40.58064516129032
2015-08-31,41.15132258064515
2015-09-30,32.769666666666666
2015-10-31,29.169741935483874
2015-11-30,27.818533333333335
2015-12-31,22.105225806451614
2016-01-31,30.424903225806453
2016-02-29,32.05696551724137
2016-03-31,35.93692592592592
2016-04-30,42.696913043478254
2016-05-31,36.28948387096774
2016-06-30,39.483933333333326
2016-07-31,37.68679166666667
2016-08-31,32.6092
2016-09-30,32.50286666666667
2016-10-31,29.810645161290328
2016-11-30,29.201633333333334
2016-12-31,26.365387096774192
2017-01-31,27.845709677419354
2017-02-28,35.569035714285725
2017-03-31,40.32951612903228
2017-04-30,38.48053333333334
2017-05-31,37.38145161290322
2017-06-30,40.49380000000001
2017-07-31,37.91335483870967
2017-08-31,34.596290322580636
2017-09-30,29.579900000000002
2017-10-31,30.176806451612904
2017-11-30,28.1957
2017-12-31,27.77183870967742
2018-01-31,30.339322580645163
2018-02-28,28.656964285714288
2018-03-31,39.51900000000001
2018-04-30,45.594233333333335
2018-05-31,39.23422580645161
2018-06-30,40.513
2018-07-31,36.94667741935485
2018-08-31,34.6008064516129
2018-09-30,27.244966666666674
2018-10-31,28.687774193548382
2018-11-30,24.688374999999997
2018-12-31,24.12611538461539
2019-01-31,28.915583333333334
2019-02-28,33.41457142857143
2019-03-31,41.31909677419356
2019-04-30,41.592466666666674
2019-05-31,39.38180645161291
2019-06-30,40.3681
2019-07-31,40.16077419354839
2019-08-31,33.17914285714286
2019-09-30,35.3155
2019-10-31,31.097354838709673
2019-11-30,28.21890000000001
2019-12-31,24.377193548387098
2020-01-31,29.357709677419358
2020-02-29,31.930965517241386
2020-03-31,35.89703225806451
2020-04-30,40.837666666666664
2020-05-31,36.51319354838709
2020-06-30,37.092733333333335
